"profread","female","famrisk","center","noreadbo","minority","halfdayK","wksesl","p1ageent_66"
1,1,1,0,0,0,1,-0.3,6
1,0,0,1,1,0,1,-0.06,8
1,1,0,1,0,0,1,0.22,7
1,1,0,1,0,1,1,1.24,-2
1,1,0,1,0,0,1,1.37,6
1,0,1,1,0,1,1,0.63,13
1,0,0,1,0,0,1,0.34,8
1,1,0,1,0,0,1,1.01,9
1,0,0,1,0,0,1,0.66,7
1,0,0,1,0,0,0,1.91,9
1,1,0,0,0,0,0,0.83,-2
1,0,0,1,1,0,0,1.63,4
1,1,0,1,0,0,0,0.89,-2
1,0,0,1,0,0,0,1.6,6
1,0,0,1,0,1,0,1.02,8
1,1,1,1,1,0,1,0.76,9
1,0,1,1,0,1,1,-0.35,2
1,0,0,1,0,0,1,0.91,1
1,0,0,1,0,0,1,1.5,3
1,0,0,0,0,0,1,-0.36,6
1,1,1,0,1,0,1,0.17,1
1,0,0,1,0,0,1,-0.1,1
1,1,0,1,0,1,1,0.26,-2
1,0,0,1,0,0,0,-0.12,2
1,0,0,1,0,0,1,-0.09,-2
1,1,0,1,0,0,1,-0.43,-2
1,1,0,1,0,0,1,0.32,2
1,0,0,1,1,0,1,-0.12,0
1,0,0,1,0,0,1,0.24,4
1,1,0,1,0,0,0,0.06,2
1,0,0,1,0,0,0,0.57,6
1,1,0,1,0,0,0,0.6,3
1,0,0,1,0,1,1,0.1,-1
1,1,0,1,0,0,0,0.58,-1
1,1,0,1,0,1,0,2.25,1
1,0,0,1,0,1,0,0.18,-1
1,1,1,1,0,1,0,0.85,1
1,0,0,1,0,1,1,1.88,3
1,0,0,0,0,0,1,1.63,1
1,1,0,1,0,0,1,1.87,-3
1,1,0,1,0,0,1,0.76,-4
1,1,1,1,0,1,1,0.8,5
1,0,0,1,0,1,1,0.97,3
1,1,0,1,0,0,1,1.53,5
1,1,0,1,0,0,1,0.55,-1
1,1,0,1,0,1,1,0.13,1
1,0,0,1,0,0,1,0.63,-1
1,1,0,1,0,0,0,-0.48,1
1,1,0,1,0,0,0,0.3,0
1,1,0,1,0,0,0,0.22,4
1,0,0,0,0,0,0,0.05,3
1,0,0,1,0,0,1,0.33,-1
1,1,0,1,0,0,1,1.03,5
1,1,0,1,0,0,0,0.62,4
1,1,0,1,0,0,0,-0.35,6
1,0,0,1,0,0,0,-0.3,4
1,1,0,0,0,0,1,-0.22,4
1,1,1,1,0,0,1,-0.33,2
1,0,0,1,0,0,1,2.64,-4
1,1,0,1,0,0,1,0.23,4
1,0,0,1,0,0,1,0.84,3
1,1,0,0,0,0,1,1.02,0
1,0,0,0,1,0,1,-0.21,3
1,1,0,0,0,0,1,0.43,0
1,1,0,1,0,0,0,0.98,2
1,1,0,1,0,0,0,1.94,-4
1,1,1,1,0,0,0,1.44,1
1,0,1,0,0,1,0,-0.36,4
1,0,0,1,0,0,0,1.11,-1
1,1,0,1,0,0,0,0.42,2
1,1,1,1,0,1,0,0.15,-4
1,0,0,0,0,0,0,1.11,0
1,0,0,1,0,1,0,0.31,-6
1,0,0,1,0,0,0,0.22,-3
1,1,0,1,0,0,0,0.79,1
1,0,1,1,0,1,0,0.66,1
1,1,0,1,0,0,0,0.57,-3
1,0,1,1,0,0,0,0.72,5
1,1,0,1,0,0,0,0.76,1
1,1,1,1,0,0,0,1.11,2
1,1,0,1,0,0,0,0.74,3
1,0,1,1,0,1,0,0.6,5
1,1,0,1,0,0,0,0.37,-2
1,1,0,1,0,0,0,-0.19,3
1,1,0,0,0,0,0,0.38,3
1,0,1,1,0,0,0,-0.6,4
1,0,0,1,0,0,0,-0.02,0
1,1,0,1,1,0,0,0.17,-2
1,1,0,1,1,0,0,0.54,-5
1,0,0,1,0,0,0,0.77,0
1,1,1,1,0,0,0,0,4
1,1,0,1,0,1,0,1.66,-4
1,0,0,1,0,0,0,1.75,-4
1,0,0,1,0,0,0,1.95,-1
1,0,0,1,0,0,0,1.98,4
1,0,1,1,0,0,0,1.03,6
1,1,0,1,0,0,0,1.61,4
1,1,0,1,1,0,0,1.11,7
1,0,0,0,0,0,0,1.41,3
1,1,0,0,0,0,0,1.76,-2
1,0,0,1,0,0,0,2.11,-2
1,1,0,1,0,0,0,1.61,4
1,1,0,1,0,1,0,-0.38,6
1,1,0,0,0,1,0,0.28,-3
1,0,0,0,0,0,0,0.51,4
1,1,0,1,0,1,0,1.04,1
1,1,0,0,0,1,0,1.64,5
1,1,0,1,0,0,0,0.26,5
1,1,0,1,0,0,0,0.03,5
1,0,0,1,0,0,0,0.31,4
1,1,0,1,0,0,0,0.5,2
1,1,1,1,0,0,0,0.71,-4
1,1,0,1,0,0,0,1.07,0
1,0,0,1,0,0,0,1.13,-1
1,0,0,0,0,0,0,1.28,5
1,0,1,1,0,1,0,-0.3,3
1,1,0,1,0,1,0,0.06,2
1,1,1,1,0,1,0,-0.32,6
1,1,1,0,0,1,0,0.75,6
1,1,0,1,0,1,0,2.13,5
1,1,0,1,0,0,0,1.45,6
1,1,0,1,0,0,0,1.32,-2
1,1,0,1,0,1,1,1.3,-4
1,1,1,1,0,1,1,0.69,-1
1,0,0,1,0,1,1,0.66,-2
1,0,0,1,0,0,1,0.97,5
1,0,1,1,1,1,0,-0.72,1
1,0,0,0,0,0,0,-0.07,1
1,0,0,1,0,0,1,1.33,-5
1,0,0,1,0,0,0,0.43,4
1,0,0,1,0,0,0,1.04,8
1,0,0,1,0,0,0,2.04,0
1,0,0,1,0,1,0,-0.13,0
1,1,0,1,0,0,1,1.05,4
1,0,0,1,0,0,1,-0.22,-1
1,1,0,0,0,0,0,-0.5,-1
1,0,1,1,0,0,0,-0.61,-7
1,1,0,1,0,1,0,0.05,6
1,1,0,1,0,0,0,-0.29,-5
1,0,1,1,1,0,0,0.31,-5
1,1,0,1,0,0,0,0.96,5
1,1,0,1,0,0,0,1.47,-1
1,1,1,1,0,0,0,1.31,2
1,1,0,1,0,0,0,1.88,5
1,1,0,1,0,0,0,0.1,4
1,1,0,0,0,0,0,-0.24,3
1,1,1,1,0,1,0,-0.64,0
1,0,0,1,1,1,0,-0.38,-2
1,1,0,1,0,1,0,0.69,5
1,1,0,1,1,0,0,0.69,-1
1,0,1,1,0,0,0,-0.64,5
1,0,0,1,0,0,0,1.23,7
1,1,0,1,0,0,0,0.83,-2
1,1,0,1,0,0,0,0.78,-1
1,1,1,1,0,0,0,-0.13,3
1,1,0,1,0,0,0,0.39,2
